FirstTeam,SecondTeam,Date,W/L,HomeCourt
GSW,NOP,03/03/2023,W,1
MIN,LAL,03/03/2023,W,0
NYK,MIA,03/03/2023,W,0
MIA,NYK,03/03/2023,L,1
LAL,MIN,03/03/2023,L,1
CHI,PHX,03/03/2023,L,1
UTA,OKC,03/03/2023,L,0
PHX,CHI,03/03/2023,W,0
NOP,GSW,03/03/2023,L,0
LAC,SAC,03/03/2023,L,0
SAC,LAC,03/03/2023,W,1
WAS,TOR,03/02/2023,W,1
TOR,WAS,03/02/2023,L,0
DAL,PHI,03/02/2023,W,1
PHI,DAL,03/02/2023,L,0
LAC,GSW,03/02/2023,L,0
GSW,LAC,03/02/2023,W,1
SAS,IND,03/02/2023,W,1
IND,SAS,03/02/2023,L,0
CHI,DET,03/01/2023,W,0
DET,CHI,03/01/2023,L,1
CLE,BOS,03/01/2023,L,0
CHA,PHX,03/01/2023,L,1
PHX,CHA,03/01/2023,W,0
BKN,NYK,03/01/2023,L,0
MEM,HOU,03/01/2023,W,0
HOU,MEM,03/01/2023,L,1
ORL,MIL,03/01/2023,L,0
MIL,ORL,03/01/2023,W,1
NYK,BKN,03/01/2023,W,1
PHI,MIA,03/01/2023,W,0
MIA,PHI,03/01/2023,L,1
NOP,POR,03/01/2023,W,0
POR,NOP,03/01/2023,L,1
LAL,OKC,03/01/2023,W,0
OKC,LAL,03/01/2023,L,1
BOS,CLE,03/01/2023,W,1
TOR,CHI,02/28/2023,W,1
CHI,TOR,02/28/2023,L,0
DEN,HOU,02/28/2023,W,0
HOU,DEN,02/28/2023,L,1
OKC,SAC,02/28/2023,L,1
POR,GSW,02/28/2023,L,0
LAC,MIN,02/28/2023,L,1
MIN,LAC,02/28/2023,W,0
WAS,ATL,02/28/2023,W,0
ATL,WAS,02/28/2023,L,1
BKN,MIL,02/28/2023,L,1
MIL,BKN,02/28/2023,W,0
DAL,IND,02/28/2023,L,1
IND,DAL,02/28/2023,W,0
GSW,POR,02/28/2023,W,1
MEM,LAL,02/28/2023,W,1
SAS,UTA,02/28/2023,W,0
LAL,MEM,02/28/2023,L,0
UTA,SAS,02/28/2023,L,1
SAC,OKC,02/28/2023,W,0
